author,published_at,visit_date,group_type,total_rating,food,service,location,photos_count,text_length,text
Светлана,2026-03-19,2026-03-01,Семья с детьми,9.7,9,10,10,10,1432,"Замечательный новый отель, расположенный от аэропорта в 15 минутах езды. Ухоженная чистая и зеленая территория. 
Качество обслуживания на высоте. Администрация отеля сразу реагирует на просьбу или замечание. 
Комфортный песчаный заход в море без камней и кораллов. Волн не бывает, потому что это лагуна. Лежаков всем хватает. 
Чистые подогреваемые бассейны 6 шт., из них два детских. Два бара у пляжа, один у бассейнов внутри территории. Два бара внутри центрального здания круглосуточные.
Классная анимация для взрослых и детей. Отдельное спасибо русскому детскому аниматору Наде. Она замечательная, добрая и отзывчивая! Дети ее полюбили с первой встречи! Каждый вечер детская дискотека в 20-00, далее аквагрим. 
Еда на любой вкус в главном ресторане Пальмира по системе шведский стол. Три ресторана с однократным посещением бесплатно по системе Аля карт. Из алкоголя, входящего в ультра всё включено, это местное египетское вино красное и белое, пиво хайникен — достойного качества, коктейли. 
Основной контингент отдыхающих — немцы, итальянцы, поляки и латыши, русских очень мало. Много отдыхающих пар от 50+. В отеле действительно спокойная семейная атмосфера, без оров, ночных дискотек и пьяных лиц! Вечером особая аура из красивых одетых женщин и мужчин, сидящий за столиками в барах и мило беседующих))
Спасибо онлайнтурс за быстрое реагирование на сложившиеся обстоятельства и замену тура, спасибо за предоставленную услугу!"
Катя,2026-02-16,2026-02-01,Парой,10,10,10,10,1,1411,"Отдыхали в отеле практически 12 дней! 
Великолепно! 
Отель небольшой, очень много европейцев. Русских мало и так сложилось, что мы со всеми практически познакомились и классно проводили время. 

Детей мало. Я думаю, с детьми там будет скучновато. Хотя есть небольшой детский клуб и мини диско. 

Про отель. Как и говорила выше, он небольшой, но очень чистый. За ним очень внимательно ухаживает персонал, даже траву руками на газонах щиплют 😅 

Персонал великолепный. Добрые, услужливые, с чаевыми и без них замечательно работают. Чаевые хочется оставлять, заслуживают. 

Еда. Все очень вкусно, разнообразно (первую неделю). Но за 12 дней мы конечно же привыкли и без удивления просто наслаждались кухней. 

Очень вкусные и достойные стейки в а ля карт, замечательная пицца, паста, выпечка разнообразная и безумно вкусная, десерты тоже великолепные. Фрукты, клубника в шоколаде и тд. 
Заказывали торт для друга на ДР, сделали супер вкусный вишневый! 

Руководство отеля приглашали на вечерние коктейли, вкусно. 

Также лично шеф нам бесплатно приготовил рыбу, которую мы наловили (ездили на рыбалку), тоже супер вкусно! 

Номера чистые, ухоженные. 

Море тоже чистое, спокойное. 

Анимация — топ! Познакомились и подружились со всеми! 

Бармены великолепные. 
Алкоголь норм) в основном из пластика, но нам иногда из стекла наливали )) 

Отдых удался! Вернемся в этот отель 100%! И будем рекомендовать однозначно!"
София,2026-02-06,2026-01-01,С семьей,10,10,10,10,0,268,"Замечательный отель Отличный пляж, подогреваемые бассейны, обалденная еда и очень отзывчивый персонал У нас был номер на первом этаже со своим балконом и выходом к релакс бассейну. Номер очень понравился, единственное были проблемы с розетками Анимация в отеле хорошая"
Яна,2023-11-09,2023-11-02,Семья с детьми,9.3,9,10,9,0,293,"Отлично отдохнули в этом отеле в ноябре. Хорошее расположение рядом с пляжем, несколько бассейнов, в том числе и глубокий для взрослых, услужливый персонал. Еда разнообразная, хотя на ужин выбор был не сильно богатый. Номера просторные и чистые. На пляже песок, удобный вход, есть ветрозащита."
Елена,2023-10-31,2023-10-10,Семья с детьми,9.3,9,10,9,0,1132,"Первый выезд на море в этом году, поэтому очень долгожданный. Отель небольшой, но уютный и ухоженный. Есть 5 бассейнов, мы все же предпочитали пляж (песочек, шезлонги, ветрозащита), но некоторые отдыхающие чилят у бассов. Номера просторные и стильные, с отзывающимся душе дизайном. Наш был на первом этаже с выходом на бассейн. Персонал очень позитивный и заботливый. Уделяют много внимания гостям. Ребята на ресепшене молодцы, официанты шустрые и вежливые, уборка в номере хорошая – все стараются. Кормили довольно разнообразно. Блюда на любой вкус – мясо, птица, рыба, овощи, гарниры. Большой выбор десертов и свежих фруктов. Хорошие перекусы в течении дня. Три аля‑карта – итальянский, средиземноморский и гриль. Так мы жили больше 7 дней, то имели право на бесплатное посещение оных, что с удовольствием и сделали. Алкоголь хороший, разные коктейли, мы довольны. Аниматоры развлекали бочей, аквааэробикой, йогой и другими спортивными играми днем. Можно сыграть в волейбол и теннис. Вечером живая музыка, представления. В пятницу была классная пляжная вечеринка. Удобно, что от аэропорта близко. Гулять в Хургаду ездили на такси."
Никита,2022-04-07,2022-01-09,Парой,10,10,10,10,0,1089,"В целом, нам все понравилось. На мелочах акцентировать внимание не буду, только основные моменты, интересующие каждого туриста.
— Территория очень красивая, за чистотой следят в течение дня. Инфраструктура отличная, кому чего‑то не хватает для разнообразия можно посетить соседнюю четверку сети Jaz Casa Del Mar Resort.
— Номер с хорошим ремонтом, уютный, светлый и просторный. Сантехника в порядке, телевизор и кондер работали без сбоев. Всякие мелочи в виде фена, сейфа, банной косметики, халатов и тапочек в наличии. Кровати удобные, постельное и полотенца белоснежные. С уборкой все в порядке.
— Питание качественное и разнообразное. Выбор блюд был всегда. Алкоголь, как везде в Египетских отелях – бурда. Пиво и вино можно пить с натяжкой. Импортный алкоголь стоит денежек (40ml15$ и выше).
— Пляж порадовал чистотой и удобным заходом в море. Шезлонгов много, навесы от солнца тоже есть. Место очень красивое, похоже на укромную бухту.
— Персонал вежливый, помощь всегда оказывает, проблемы решает. Очень стараются обеспечивать качественный сервис. Атмосфера в отеле доброжелательная."
Алена,2022-04-07,2022-01-09,Парой,10,10,10,10,0,1451,"Нам не просто понравилось, мы в восторге! У нас был романтический девятидневный отдых. Разочарованными не были ни разу – все устраивало, начиная с компактной, но очень красивой и чистой территории, уютного номера, питания и заканчивая прекрасным морем. Пляж находится сразу за отелем, расположен в красивой лагуне. Вход в море пологий, дно и берег мягкий песок. Говорят, что когда‑то были кораллы, но от них успешно избавились. У берега в основном плещутся дети, а метров через 10 начинается глубина и можно поплавать, наблюдая за рыбками. Рифа здесь нет. Зато место тихое, волн почти не бывает. Номер был во всех отношениях классный, не обшарпанный, мебель в отличном состоянии, кровати и матрасы очень удобные, в комнате и санузле все необходимое было. У Wi-Fi хороший сигнал, высокоскоростной интернет раздается в номерах и на пляже. К уборке придраться сложно – чистоту и порядок соблюдают повсеместно (на территории, в комнатах, на пляже и в ресторанах). Кухня в основном ресторане и ресторанах а‑ля карт превосходная. Особенно отмечу мясные блюда и десерты. Поварам респект! Хочу похвалить официантов. Работают не покладая рук: грязной посуды нет, столы чистые, все быстро успевают подносить. Днем анимация работает на пляже, в вечерами устраиваются всякие шоу, играет живая музыка, предлагают съездить в клуб за деньги (не ведитесь – клуб очень сомнительный). Лучше покупайте экскурсии и знакомьтесь с культовыми достопримечательностями Египта."
Алекс,2022-04-07,2022-01-05,С семьей,10,10,10,10,0,1964,"Отель сети Jaz прошел реновацию в 2019 году, выглядит очень стильно и свежо. Расположен удобно по отношению к основным туристическим локациям, все находится в пешей доступности. Территория безупречно чистая, красивая и хорошо благоустроенная, граничит с Jaz Casa Del Mar Resort 4*. Гости при желании могут пользоваться инфраструктурой обоих комплексов. Основной контингент – европейцы. Номерной фонд содержится в идеальном состоянии. За время отпуска побывал в некоторых номерах и могу с уверенностью сказать, что все варианты размещения имеют стильные интерьеры, обставлены добротной мебелью и оснащены современной техникой. Наш двухкомнатный номер был просторный и светлый. В нем все продумано до мелочей, обстановка комфортная. Wi-Fi ловит везде, даже на пляже. Уборка проводилась качественно.
Питание выше всяких похвал! Приятно порадовал выбор мясных блюд, рыбы, морепродуктов, фруктов, десертов и овощных блюд, в том числе салатов. Фреши в пакет «всё включено» не входят, оплачивали отдельно. Еще один момент: напитки подаются в стеклянной посуде. К услугам отдыхающих несколько ресторанов а ля карт, кухня везде превосходная.
На территории Jaz Casa Del Mar Beach четыре бассейна, в двух из которых оборудованы секции для купания детей. В холодное время бассейны подогреваются, купаться очень приятно. Пляж находится в уютной, тихой бухте. Вход в море прорублен в кораллах. Мелко разве, что у самого берега. Через 15 метров мелководье заканчивается и начинается глубина. Дневная анимация проходит на пляже (волейбол, йога, аква‑аэробика). В программу вечерней анимации входят всякие развлекательные шоу и живая музыка. Чтобы разнообразить свой досуг и для развития кругозора брали экскурсии в компании camitourcom. Ребята работают профессионально и цены у них адекватные, не то, что у отельных гидов. Персонал отеля проявляет заботу и внимание ко всем гостям, проблемы помогает устранять, советы раздает бесплатно, всегда улыбается. Отдых прошел на позитиве!"
Юлия,2016-06-30,2015-11-14,С друзьями,8.7,9,9,8,0,842,"Здравствуйте! Отдыхали в этом отеле в ноябре 2015 года. Отель понравился. Прибыли в отель вечером. Заселили в течение пятнадцати минут. Номер достался на втором этаже, с видом на прекрасный сад. В нём была хорошая пригодная для использования техника, и довольно удобная, в хорошем состоянии мебель. Вблизи строился новый отель, но нам это не мешало. Персонал вежливый, внимательно относится к каждому посетителю. Ничего не навязывают и не мешают. Кормили в отеле хорошо. Было достаточное количество блюд. Каждый день появлялось что‑то новое. Голодными не ходили. И, наконец, самое главное — это море. Лагуна очень хороша, удобно, что есть ограждение сеткой, от всех морских обитателей. Лежаков достаточно много. В отеле была хорошая анимация. Аниматоры – молодцы! Сделали наш отдых ещё более весёлым и красочным! Я бы возвратилась сюда снова!"
Ольга,2016-06-30,2016-02-18,С друзьями,9.7,10,10,9,0,1257,"Всем привет. Отдыхали в этом отеле с подругами. Достойный отель, на твердую четверку по меркам Египта. Отель выбирали самостоятельно, так что всё, уведенное соответствовало запросам. По прилету встретили очень дружелюбно, расселили мгновенно. Пока заполняли документы, был подан прохладный сок. Весь персонал хорошо разговаривает по‑русски. Прежде, чем отнести вещи — номер был показан, только после нашего согласия произвели заселение. Номерной фонд, конечно, уже требует косметического ремонта. Но всё было чисто и довольно уютно. Уборка регулярно проводилась. Персонал и сервис достойный. Стараются уходить. Кухня разнообразная и в достаточном количестве. Мясо, рыба, курица, огромное количество овощей в разных видах, десерты и выпечка — просто великолепные! Всё свежее и на любой вкус. Огромный респект команде поваров! Вид из ресторана на территорию отеля просто волшебный — на пляж и яхты! Также на территории есть тренажерный зал, салон красоты, медицинский центр, магазины, а в лобби установлена стойка с журналами. А в целом, огромное спасибо персоналу отеля за радушный прием и отличный отдых! Видно, что в это тяжелое для их страны время, все стараются сделать ваш отдых как можно лучше и от души порадовать каждого из немногочисленных туристов."
